,Title,Author,Status,Wait Time
0,1984,George Orwell,AVAILABLE,
1,Animal Farm,George Orwell,AVAILABLE,
2,Homage to Catalonia,George Orwell,AVAILABLE,
3,Fahrenheit 451,Ray Bradbury,AVAILABLE,
4,An Indigenous Peoples' History of the United States,Roxanne Dunbar-Ortiz,AVAILABLE,
5,The Second Sex,Simone De Beauvoir,AVAILABLE,
6,Down and Out in Paris and London,George Orwell,AVAILABLE,
7,Here Comes Trouble,Michael Moore,AVAILABLE,
8,The Picture of Dorian Gray,Oscar Wilde,AVAILABLE,
9,Common Sense,Thomas Paine,AVAILABLE,
10,A Colossal Failure of Common Sense,Lawrence G. McDonald,AVAILABLE,
11,"Oh, The Places You'll Go! and The Lorax",Dr. Seuss,AVAILABLE,
12,1984,George Orwell,AVAILABLE,
13,Animal Farm,George Orwell,AVAILABLE,
14,Homage to Catalonia,George Orwell,AVAILABLE,
15,Fahrenheit 451,Ray Bradbury,AVAILABLE,
16,An Indigenous Peoples' History of the United States,Roxanne Dunbar-Ortiz,AVAILABLE,
17,The Second Sex,Simone De Beauvoir,AVAILABLE,
18,Down and Out in Paris and London,George Orwell,AVAILABLE,
19,Here Comes Trouble,Michael Moore,AVAILABLE,
20,The Picture of Dorian Gray,Oscar Wilde,AVAILABLE,
21,Common Sense,Thomas Paine,AVAILABLE,
22,A Colossal Failure of Common Sense,Lawrence G. McDonald,AVAILABLE,
23,"Oh, The Places You'll Go! and The Lorax",Dr. Seuss,AVAILABLE,
24,Walden and On the Duty of Civil Disobedience,Henry David Thoreau,AVAILABLE,
25,King Leopold's Ghost,Adam Hochschild,AVAILABLE,
26,Bury the Chains,Adam Hochschild,AVAILABLE,
27,Walden and On the Duty of Civil Disobedience,Henry David Thoreau,AVAILABLE,
28,King Leopold's Ghost,Adam Hochschild,AVAILABLE,
29,Bury the Chains,Adam Hochschild,AVAILABLE,
30,Goddess of Anarchy,Jacqueline Jones,AVAILABLE,
31,Anarchy and Old Dogs,Colin Cotterill,AVAILABLE,
32,I Know Why the Caged Bird Sings,Maya Angelou,AVAILABLE,
33,War and Peace,Leo Tolstoy,AVAILABLE,
34,"Secrets, Plots & Hidden Agendas",Paul T. Coughlin,AVAILABLE,
35,Goddess of Anarchy,Jacqueline Jones,AVAILABLE,
36,Anarchy and Old Dogs,Colin Cotterill,AVAILABLE,
37,I Know Why the Caged Bird Sings,Maya Angelou,AVAILABLE,
38,War and Peace,Leo Tolstoy,AVAILABLE,
39,"Secrets, Plots & Hidden Agendas",Paul T. Coughlin,AVAILABLE,
40,So You Want to Talk about Race,Ijeoma Oluo,AVAILABLE,
41,To Kill a Mockingbird,Harper Lee,AVAILABLE,
42,So You Want to Talk about Race,Ijeoma Oluo,AVAILABLE,
43,To Kill a Mockingbird,Harper Lee,AVAILABLE,
44,Native Son,Richard Wright,AVAILABLE,
45,Native Son,Richard Wright,AVAILABLE,
46,The Rise and Fall of the Third Reich,William L. Shirer,AVAILABLE,
47,The Rise and Fall of D.O.D.O.,Neal Stephenson,AVAILABLE,
48,The Rise and Fall of Soviet Communism,Gary Hamburg,AVAILABLE,
49,The Rise and Fall of the British Empire,Patrick N. Allitt,AVAILABLE,
50,The End of Policing,Alex S. Vitale,AVAILABLE,
51,How to Be an Antiracist,Ibram X. Kendi,AVAILABLE,
0,The Grapes of Wrath,John Steinbeck,WAIT LIST,About 2 weeks
1,Don Quixote,Miguel De Cervantes,WAIT LIST,About 2 weeks
2,V for Vendetta,Steve Moore,WAIT LIST,About 2 weeks
3,The Jungle Book,Rudyard Kipling,WAIT LIST,About 2 weeks
4,Fault Lines in the Constitution,Cynthia Levinson,WAIT LIST,About 2 weeks
5,The Grapes of Wrath,John Steinbeck,WAIT LIST,About 2 weeks
6,Don Quixote,Miguel De Cervantes,WAIT LIST,About 2 weeks
7,V for Vendetta,Steve Moore,WAIT LIST,About 2 weeks
8,The Jungle Book,Rudyard Kipling,WAIT LIST,About 2 weeks
9,Fault Lines in the Constitution,Cynthia Levinson,WAIT LIST,About 2 weeks
10,"Dear Ijeawele, or a Feminist Manifesto in Fifteen Suggestions",Chimamanda Ngozi Adichie,WAIT LIST,About 2 weeks
11,"Dear Ijeawele, or a Feminist Manifesto in Fifteen Suggestions",Chimamanda Ngozi Adichie,WAIT LIST,About 2 weeks
12,We Should All Be Feminists,Chimamanda Ngozi Adichie,WAIT LIST,About 3 weeks
13,We Should All Be Feminists,Chimamanda Ngozi Adichie,WAIT LIST,About 3 weeks
14,Confessions of an Economic Hit Man,John Perkins,WAIT LIST,About 4 weeks
15,For Whom the Bell Tolls,Ernest Hemingway,WAIT LIST,About 4 weeks
16,Confessions of an Economic Hit Man,John Perkins,WAIT LIST,About 4 weeks
17,For Whom the Bell Tolls,Ernest Hemingway,WAIT LIST,About 4 weeks
18,We Were Eight Years in Power,Ta-Nehisi Coates,WAIT LIST,About 5 weeks
19,We Were Eight Years in Power,Ta-Nehisi Coates,WAIT LIST,About 5 weeks
20,Of Mice and Men,John Steinbeck,WAIT LIST,About 6 weeks
21,Of Mice and Men,John Steinbeck,WAIT LIST,About 6 weeks
22,Pedagogy of the Oppressed,Paulo Freire,WAIT LIST,About 10 weeks
23,Pedagogy of the Oppressed,Paulo Freire,WAIT LIST,About 10 weeks
24,"Narrative of the Life of Frederick Douglass, an American Slave",Frederick Douglass,WAIT LIST,About 12 weeks
25,"Narrative of the Life of Frederick Douglass, an American Slave",Frederick Douglass,WAIT LIST,About 12 weeks
26,Notes of a Native Son,James Baldwin,WAIT LIST,About 12 weeks
27,Notes of a Native Son,James Baldwin,WAIT LIST,About 12 weeks
28,A People's History of the United States,Howard Zinn,WAIT LIST,About 14 weeks
29,A People's History of the United States,Howard Zinn,WAIT LIST,About 14 weeks
30,A People's History of the United States,Howard Zinn,WAIT LIST,About 14 weeks
31,A People's History of the United States,Howard Zinn,WAIT LIST,About 14 weeks
32,A People's History of the United States,Howard Zinn,WAIT LIST,About 14 weeks
33,A People's History of the United States,Howard Zinn,WAIT LIST,About 14 weeks
